"seqnames" "start" "end" "width" "strand"
"109" "chr1" 8086394 8384389 297996 "*"
"110" "chr1" 8404228 8412463 8236 "*"
"111" "chr1" 8877700 8921058 43359 "*"
"112" "chr1" 8939944 9005892 65949 "*"
"113" "chr1" 9035149 9063358 28210 "*"
"114" "chr1" 9086405 9097004 10600 "*"
"115" "chr1" 9148511 9164475 15965 "*"
"116" "chr1" 9189230 9211726 22497 "*"
"117" "chr1" 9211837 9294862 83026 "*"
"118" "chr1" 9331395 9352940 21546 "*"
"119" "chr1" 9429591 9599527 169937 "*"
"120" "chr1" 9642832 9648931 6100 "*"
"121" "chr1" 9674936 9711789 36854 "*"
"122" "chr1" 9884551 9908333 23783 "*"
"123" "chr1" 9970317 9989775 19459 "*"
"124" "chr1" 10003428 10003485 58 "*"
"125" "chr1" 10045557 10057254 11698 "*"
"126" "chr1" 10076079 10093040 16962 "*"
"127" "chr1" 10241297 10270763 29467 "*"
"128" "chr1" 10441662 10459084 17423 "*"
"129" "chr1" 10480202 10490158 9957 "*"
"130" "chr1" 10512061 10520602 8542 "*"
"131" "chr1" 10532614 10535002 2389 "*"
"132" "chr1" 10690816 10696665 5850 "*"
"133" "chr1" 10856734 11006529 149796 "*"
"134" "chr1" 11042095 11072678 30584 "*"
"135" "chr1" 11085550 11086579 1030 "*"
"136" "chr1" 11107297 11114648 7352 "*"
"137" "chr1" 11120092 11126675 6584 "*"
"138" "chr1" 11159939 11166587 6649 "*"
"139" "chr1" 11322609 11333254 10646 "*"
"140" "chr1" 11348492 11539294 190803 "*"
"141" "chr1" 11597641 11708417 110777 "*"
"142" "chr1" 11723385 11724149 765 "*"
"143" "chr1" 11734410 11734536 127 "*"
"144" "chr1" 11751679 11751780 102 "*"
"145" "chr1" 11780337 11796141 15805 "*"
"146" "chr1" 11810829 11845786 34958 "*"
"147" "chr1" 11907841 11917520 9680 "*"
"148" "chr1" 11918993 11979644 60652 "*"
"149" "chr1" 11986486 11994723 8238 "*"
"150" "chr1" 12035600 12040237 4638 "*"
"151" "chr1" 12073573 12079298 5726 "*"
"152" "chr1" 12092107 12123433 31327 "*"
"153" "chr1" 12204265 12227059 22795 "*"
"154" "chr1" 12269278 12290112 20835 "*"
"155" "chr1" 12572099 12627938 55840 "*"
"156" "chr1" 12677821 12704565 26745 "*"
"157" "chr1" 12727098 12776117 49020 "*"
"158" "chr1" 12788727 12806162 17436 "*"
"159" "chr1" 12821103 12834983 13881 "*"
"160" "chr1" 12838049 12851545 13497 "*"
"161" "chr1" 12856778 12884467 27690 "*"
"162" "chr1" 12891265 12907235 15971 "*"
"163" "chr1" 12908579 12916940 8362 "*"
"164" "chr1" 12921765 12939032 17268 "*"
"165" "chr1" 12946026 12952726 6701 "*"
"166" "chr1" 12958095 12998301 40207 "*"
"167" "chr1" 13007407 13035542 28136 "*"
"168" "chr1" 13038382 13182959 144578 "*"
"169" "chr1" 13184327 13328195 143869 "*"
"170" "chr1" 13331693 13421175 89483 "*"
"171" "chr1" 13747804 13801444 53641 "*"
"172" "chr1" 13840243 13910251 70009 "*"
"173" "chr1" 13944453 14026734 82282 "*"
"174" "chr1" 14151575 14925212 773638 "*"
"175" "chr1" 15478961 15479027 67 "*"
"176" "chr1" 15546975 15573767 26793 "*"
"177" "chr1" 15726779 15736390 9612 "*"
"178" "chr1" 15756840 15764937 8098 "*"
"179" "chr1" 15773154 15783222 10069 "*"
"180" "chr1" 15798587 15802595 4009 "*"
"181" "chr1" 15851286 15853351 2066 "*"
"182" "chr1" 15918875 15943952 25078 "*"
"183" "chr1" 15988218 16010826 22609 "*"
"184" "chr1" 16061265 16062808 1544 "*"
"185" "chr1" 16067885 16068986 1102 "*"
"186" "chr1" 16074293 16083153 8861 "*"
"187" "chr1" 16113085 16133656 20572 "*"
"188" "chr1" 16134195 16160709 26515 "*"
"189" "chr1" 16266951 16268363 1413 "*"
"190" "chr1" 16302628 16330730 28103 "*"
"191" "chr1" 16333185 16340522 7338 "*"
"192" "chr1" 16383822 16384263 442 "*"
"193" "chr1" 16400128 16450831 50704 "*"
"194" "chr1" 16482583 16524598 42016 "*"
"195" "chr1" 16539105 16558181 19077 "*"
"196" "chr1" 16563660 16576558 12899 "*"
"197" "chr1" 16678949 16693524 14576 "*"
"198" "chr1" 16763920 16767166 3247 "*"
"199" "chr1" 16786585 16793930 7346 "*"
"200" "chr1" 16819197 16888921 69725 "*"
"201" "chr1" 16940101 16944750 4650 "*"
"202" "chr1" 16971179 16972068 890 "*"
"203" "chr1" 16976916 17017712 40797 "*"
"204" "chr1" 17046653 17066767 20115 "*"
"205" "chr1" 17299475 17300998 1524 "*"
"206" "chr1" 17308082 17312452 4371 "*"
"207" "chr1" 17338424 17345224 6801 "*"
"208" "chr1" 17380666 17393255 12590 "*"
"209" "chr1" 17445949 17531620 85672 "*"
"210" "chr1" 17572502 17575592 3091 "*"
"211" "chr1" 17610728 17634689 23962 "*"
"212" "chr1" 17690496 17698740 8245 "*"
"213" "chr1" 17728196 17733250 5055 "*"
"214" "chr1" 17766251 17846826 80576 "*"
"215" "chr1" 18024371 18081807 57437 "*"
"216" "chr1" 18153559 18434239 280681 "*"
"217" "chr1" 18704978 18807423 102446 "*"
"218" "chr1" 18812481 18957499 145019 "*"
"219" "chr1" 19075361 19166092 90732 "*"
"220" "chr1" 19186156 19197923 11768 "*"
"221" "chr1" 19229294 19230773 1480 "*"
"222" "chr1" 19282827 19400999 118173 "*"
"223" "chr1" 19536747 19542157 5411 "*"
"224" "chr1" 19578054 19578074 21 "*"
"225" "chr1" 19586623 19592475 5853 "*"
"226" "chr1" 19600569 19609056 8488 "*"
"227" "chr1" 19615281 19619740 4460 "*"
"228" "chr1" 19622231 19629201 6971 "*"
"229" "chr1" 19638641 19638739 99 "*"
"230" "chr1" 19658923 19665266 6344 "*"
"231" "chr1" 19812067 19923470 111404 "*"
"232" "chr1" 19984950 19991779 6830 "*"
"233" "chr1" 20006056 20008705 2650 "*"
"234" "chr1" 20126759 20140521 13763 "*"
"235" "chr1" 20141772 20208887 67116 "*"
"236" "chr1" 20239438 20246799 7362 "*"
"237" "chr1" 20250111 20301923 51813 "*"
"238" "chr1" 20306933 20354671 47739 "*"
"239" "chr1" 20418395 20439142 20748 "*"
"240" "chr1" 20446060 20465822 19763 "*"
"241" "chr1" 20476880 20490483 13604 "*"
"242" "chr1" 20501688 20512577 10890 "*"
"243" "chr1" 20519943 20617411 97469 "*"
"244" "chr1" 20681388 20686293 4906 "*"
"245" "chr1" 20755288 20808883 53596 "*"
"246" "chr1" 20812729 20825940 13212 "*"
"247" "chr1" 20834675 20878931 44257 "*"
"248" "chr1" 20881514 20915443 33930 "*"
"249" "chr1" 20945401 20959947 14547 "*"
"250" "chr1" 20978005 20978259 255 "*"
"251" "chr1" 20988038 20990506 2469 "*"
"252" "chr1" 21044318 21046224 1907 "*"
"253" "chr1" 21059331 21069170 9840 "*"
"254" "chr1" 21113800 21132784 18985 "*"
"255" "chr1" 21503382 21543739 40358 "*"
"256" "chr1" 21672035 21766582 94548 "*"
"257" "chr1" 21811394 21835857 24464 "*"
"258" "chr1" 21904906 21922707 17802 "*"
"259" "chr1" 21995857 22004791 8935 "*"
"260" "chr1" 22109689 22138757 29069 "*"
"261" "chr1" 22263751 22303417 39667 "*"
"262" "chr1" 22339036 22351706 12671 "*"
"263" "chr1" 22357716 22379119 21404 "*"
"264" "chr1" 22419437 22443797 24361 "*"
"265" "chr1" 22470386 22778343 307958 "*"
"266" "chr1" 22857651 22890003 32353 "*"
"267" "chr1" 22930088 22963117 33030 "*"
"268" "chr1" 22966176 22970117 3942 "*"
"269" "chr1" 22974604 22979681 5078 "*"
"270" "chr1" 22988030 23037330 49301 "*"
"271" "chr1" 23241824 23337326 95503 "*"
"272" "chr1" 23342344 23345940 3597 "*"
"273" "chr1" 23410185 23410515 331 "*"
"274" "chr1" 23504302 23518387 14086 "*"
"275" "chr1" 23521223 23636275 115053 "*"
"276" "chr1" 23670854 23685940 15087 "*"
"277" "chr1" 23698331 23707554 9224 "*"
"278" "chr1" 23751262 23755055 3794 "*"
"279" "chr1" 23811058 23832919 21862 "*"
"280" "chr1" 23857713 23884420 26708 "*"
"281" "chr1" 23886286 23907984 21699 "*"
"282" "chr1" 23967057 24018268 51212 "*"
"283" "chr1" 24022916 24069855 46940 "*"
"284" "chr1" 24104788 24104875 88 "*"
"285" "chr1" 24114723 24117645 2923 "*"
"286" "chr1" 24122030 24122088 59 "*"
"287" "chr1" 24127295 24128366 1072 "*"
"288" "chr1" 24165111 24171571 6461 "*"
"289" "chr1" 24194860 24200459 5600 "*"
"290" "chr1" 24239818 24255559 15742 "*"
"291" "chr1" 24255638 24286300 30663 "*"
"292" "chr1" 24289950 24382530 92581 "*"
"293" "chr1" 24438666 24446260 7595 "*"
"294" "chr1" 24469776 24480646 10871 "*"
"295" "chr1" 24513766 24526729 12964 "*"
"296" "chr1" 24538181 24645811 107631 "*"
"297" "chr1" 24741588 24742244 657 "*"
"298" "chr1" 24799474 24822822 23349 "*"
"299" "chr1" 24863511 24882566 19056 "*"
"300" "chr1" 24935819 24969593 33775 "*"
"301" "chr1" 24999773 25071759 71987 "*"
"302" "chr1" 25170816 25226001 55186 "*"
"303" "chr1" 25291613 25548766 257154 "*"
"304" "chr1" 25559014 25568739 9726 "*"
"305" "chr1" 25664657 25664788 132 "*"
"306" "chr1" 25756684 25757387 704 "*"
"307" "chr1" 25826699 25870075 43377 "*"
"308" "chr1" 25895378 25943958 48581 "*"
"309" "chr1" 26111259 26126666 15408 "*"
"310" "chr1" 26144714 26146396 1683 "*"
"311" "chr1" 26159434 26160496 1063 "*"
"312" "chr1" 26185849 26187974 2126 "*"
"313" "chr1" 26197745 26210676 12932 "*"
"314" "chr1" 26233369 26286257 52889 "*"
"315" "chr1" 26324649 26348270 23622 "*"
"316" "chr1" 26362955 26364513 1559 "*"
"317" "chr1" 26372605 26377795 5191 "*"
"318" "chr1" 26394126 26437655 43530 "*"
"319" "chr1" 26452040 26485510 33471 "*"
"320" "chr1" 26489120 26496387 7268 "*"
"321" "chr1" 26497365 26503980 6616 "*"
"322" "chr1" 26516376 26517118 743 "*"
"323" "chr1" 26529034 26560692 31659 "*"
"324" "chr1" 26605300 26606212 913 "*"
"325" "chr1" 26608014 26608772 759 "*"
"326" "chr1" 26647015 26648349 1335 "*"
"327" "chr1" 26680622 26688124 7503 "*"
"328" "chr1" 26699267 26737268 38002 "*"
"329" "chr1" 26756220 26758772 2553 "*"
"330" "chr1" 26797796 26798901 1106 "*"
"331" "chr1" 26803134 26856248 53115 "*"
"332" "chr1" 26901521 27022521 121001 "*"
"333" "chr1" 27108602 27114453 5852 "*"
"334" "chr1" 27124895 27153200 28306 "*"
"335" "chr1" 27182212 27189632 7421 "*"
"336" "chr1" 27190948 27205872 14925 "*"
"337" "chr1" 27216870 27216978 109 "*"
"338" "chr1" 27226963 27237974 11012 "*"
"339" "chr1" 27240568 27248212 7645 "*"
"340" "chr1" 27273363 27276046 2684 "*"
"341" "chr1" 27286902 27320194 33293 "*"
"342" "chr1" 27327378 27331510 4133 "*"
"343" "chr1" 27339334 27425299 85966 "*"
"344" "chr1" 27481622 27561006 79385 "*"
"345" "chr1" 27635125 27648635 13511 "*"
"346" "chr1" 27662892 27668482 5591 "*"
"347" "chr1" 27680424 27681669 1246 "*"
"348" "chr1" 27693338 27695600 2263 "*"
"349" "chr1" 27701316 27705595 4280 "*"
"350" "chr1" 27709806 27719147 9342 "*"
"351" "chr1" 27722318 27730733 8416 "*"
"352" "chr1" 27816679 27860755 44077 "*"
"353" "chr1" 27930362 27938800 8439 "*"
"354" "chr1" 27961728 27992571 30844 "*"
"355" "chr1" 27998725 28052489 53765 "*"
"356" "chr1" 28089424 28099693 10270 "*"
"357" "chr1" 28150964 28157251 6288 "*"
"358" "chr1" 28178184 28199054 20871 "*"
"359" "chr1" 28213194 28218048 4855 "*"
"360" "chr1" 28241237 28261503 20267 "*"
"361" "chr1" 28285664 28286503 840 "*"
"362" "chr1" 28294605 28296854 2250 "*"
"363" "chr1" 28415149 28473676 58528 "*"
"364" "chr1" 28520448 28526789 6342 "*"
"365" "chr1" 28559543 28562601 3059 "*"
"366" "chr1" 28564617 28585962 21346 "*"
"367" "chr1" 28609003 28655512 46510 "*"
"368" "chr1" 28662479 28696092 33614 "*"
"369" "chr1" 28826882 28832454 5573 "*"
"370" "chr1" 28865709 28879528 13820 "*"
"371" "chr1" 28908384 28918711 10328 "*"
"372" "chr1" 28921089 28929608 8520 "*"
"373" "chr1" 28969605 28975111 5507 "*"
"374" "chr1" 28975247 28995239 19993 "*"
"375" "chr1" 29042116 29063132 21017 "*"
"376" "chr1" 29096288 29138653 42366 "*"
"377" "chr1" 29190209 29213602 23394 "*"
"378" "chr1" 29450422 29474249 23828 "*"
"379" "chr1" 29508638 29519384 10747 "*"
"380" "chr1" 29557455 29563027 5573 "*"
"381" "chr1" 29653326 31184123 1530798 "*"
"382" "chr1" 31199594 31205314 5721 "*"
"383" "chr1" 31230684 31342312 111629 "*"
"384" "chr1" 31381481 31404352 22872 "*"
"385" "chr1" 31538764 31652591 113828 "*"
"386" "chr1" 31712735 31732414 19680 "*"
"387" "chr1" 31769645 31769841 197 "*"
"388" "chr1" 31837781 31838099 319 "*"
"389" "chr1" 31845924 31882411 36488 "*"
"390" "chr1" 31907528 31971838 64311 "*"
"391" "chr1" 31974168 31984035 9868 "*"
"392" "chr1" 31989847 32042085 52239 "*"
"393" "chr1" 32053288 32083300 30013 "*"
"394" "chr1" 32110839 32117847 7009 "*"
"395" "chr1" 32169769 32192717 22949 "*"
"396" "chr1" 32229649 32256024 26376 "*"
"397" "chr1" 32281581 32372021 90441 "*"
"398" "chr1" 32403989 32479294 75306 "*"
"399" "chr1" 32526461 32538502 12042 "*"
"400" "chr1" 32568468 32573643 5176 "*"
"401" "chr1" 32642169 32645344 3176 "*"
"402" "chr1" 32663887 32666201 2315 "*"
"403" "chr1" 32670992 32671235 244 "*"
"404" "chr1" 32674289 32674694 406 "*"
"405" "chr1" 32697206 32697260 55 "*"
"406" "chr1" 32707312 32712817 5506 "*"
"407" "chr1" 32714462 32716839 2378 "*"
"408" "chr1" 32751767 32757707 5941 "*"
"409" "chr1" 32799225 32799429 205 "*"
"410" "chr1" 32801841 32826870 25030 "*"
"411" "chr1" 32827845 32827861 17 "*"
"412" "chr1" 32829925 32830704 780 "*"
"413" "chr1" 32860063 32930657 70595 "*"
"414" "chr1" 33116186 33116748 563 "*"
"415" "chr1" 33168362 33207511 39150 "*"
"416" "chr1" 33240572 33240839 268 "*"
"417" "chr1" 33324481 33327868 3388 "*"
"418" "chr1" 33338083 33352097 14015 "*"
"419" "chr1" 33366954 33402049 35096 "*"
"420" "chr1" 33430287 33473540 43254 "*"
"421" "chr1" 33502513 33546713 44201 "*"
"422" "chr1" 33586132 33611002 24871 "*"
"423" "chr1" 33647672 33722173 74502 "*"
"424" "chr1" 33766321 33772366 6046 "*"
"425" "chr1" 33786700 33789223 2524 "*"
"426" "chr1" 33896616 33938231 41616 "*"
"427" "chr1" 33961996 33979608 17613 "*"
"428" "chr1" 34631444 34632623 1180 "*"
"429" "chr1" 34684732 35220647 535916 "*"
"430" "chr1" 35224114 35225341 1228 "*"
"431" "chr1" 35229326 35246789 17464 "*"
"432" "chr1" 35251968 35258170 6203 "*"
"433" "chr1" 35261349 35315962 54614 "*"
"434" "chr1" 35325418 35331036 5619 "*"
"435" "chr1" 35370985 35441299 70315 "*"
"436" "chr1" 35497570 35544971 47402 "*"
"437" "chr1" 35581456 35649200 67745 "*"
"438" "chr1" 35658744 35734567 75824 "*"
"439" "chr1" 35887546 35899090 11545 "*"
"440" "chr1" 36032381 36035412 3032 "*"
"441" "chr1" 36107446 36179476 72031 "*"
"442" "chr1" 36184791 36197712 12922 "*"
"443" "chr1" 36235552 36273827 38276 "*"
"444" "chr1" 36323491 36335408 11918 "*"
"445" "chr1" 36389900 36396318 6419 "*"
"446" "chr1" 36522064 36549675 27612 "*"
"447" "chr1" 36553877 36554452 576 "*"
"448" "chr1" 36559534 36560843 1310 "*"
"449" "chr1" 36565851 36602169 36319 "*"
"450" "chr1" 36621655 36621802 148 "*"
"451" "chr1" 36646442 36690016 43575 "*"
"452" "chr1" 36770958 36771993 1036 "*"
"453" "chr1" 36790485 36805224 14740 "*"
"454" "chr1" 36851486 36859030 7545 "*"
"455" "chr1" 36863494 36883506 20013 "*"
"456" "chr1" 36916087 36921361 5275 "*"
"457" "chr1" 36930041 36931643 1603 "*"
"458" "chr1" 36948916 37261127 312212 "*"
"459" "chr1" 37499845 37627163 127319 "*"
"460" "chr1" 37627236 37920479 293244 "*"
"461" "chr1" 37940045 37940118 74 "*"
"462" "chr1" 37949979 37955560 5582 "*"
"463" "chr1" 37980421 38000049 19629 "*"
"464" "chr1" 38019946 38022519 2574 "*"
"465" "chr1" 38061587 38076950 15364 "*"
"466" "chr1" 38100596 38147241 46646 "*"
"467" "chr1" 38157889 38158072 184 "*"
"468" "chr1" 38175392 38179552 4161 "*"
"469" "chr1" 38230825 38259773 28949 "*"
"470" "chr1" 38267279 38268613 1335 "*"
"471" "chr1" 38275127 38275238 112 "*"
"472" "chr1" 38325293 38326368 1076 "*"
"473" "chr1" 38412730 38422651 9922 "*"
"474" "chr1" 38455762 38462441 6680 "*"
"475" "chr1" 38471188 38478383 7196 "*"
"476" "chr1" 38490498 38509522 19025 "*"
"477" "chr1" 38512451 38554902 42452 "*"
"478" "chr1" 38555002 38674705 119704 "*"
"479" "chr1" 38680440 39303868 623429 "*"
"480" "chr1" 39347299 39351478 4180 "*"
"481" "chr1" 39407457 39456915 49459 "*"
"482" "chr1" 39471738 39491966 20229 "*"
"483" "chr1" 39500309 39547088 46780 "*"
"484" "chr1" 39952811 39957317 4507 "*"
"485" "chr1" 40025371 40026484 1114 "*"
"486" "chr1" 40042522 40089102 46581 "*"
"487" "chr1" 40105349 40124792 19444 "*"
"488" "chr1" 40137711 40144644 6934 "*"
"489" "chr1" 40157090 40204516 47427 "*"
"490" "chr1" 40254534 40306705 52172 "*"
"491" "chr1" 40349178 40361095 11918 "*"
"492" "chr1" 40367688 40420783 53096 "*"
"493" "chr1" 40435629 40506254 70626 "*"
"494" "chr1" 40538322 40538381 60 "*"
"495" "chr1" 40563143 40627040 63898 "*"
"496" "chr1" 40706594 40713572 6979 "*"
"497" "chr1" 40717366 40723721 6356 "*"
"498" "chr1" 40759857 40766162 6306 "*"
"499" "chr1" 40783061 40839377 56317 "*"
"500" "chr1" 40888999 40915773 26775 "*"
"501" "chr1" 40929391 40943301 13911 "*"
"502" "chr1" 40962016 40974432 12417 "*"
"503" "chr1" 40982215 40997232 15018 "*"
"504" "chr1" 41013842 41086351 72510 "*"
"505" "chr1" 41131325 41154751 23427 "*"
"506" "chr1" 41237277 41249683 12407 "*"
"507" "chr1" 41306125 41326727 20603 "*"
"508" "chr1" 41328019 41445006 116988 "*"
"509" "chr1" 41478236 41480261 2026 "*"
"510" "chr1" 41707816 41944445 236630 "*"
"511" "chr1" 41950345 41972035 21691 "*"
"512" "chr1" 42501597 42619091 117495 "*"
"513" "chr1" 42621496 42628361 6866 "*"
"514" "chr1" 42630396 42642209 11814 "*"
"515" "chr1" 42801549 42846467 44919 "*"
"516" "chr1" 42889901 42896000 6100 "*"
"517" "chr1" 42921939 42922172 234 "*"
"518" "chr1" 42926087 42929024 2938 "*"
"519" "chr1" 43120336 43124047 3712 "*"
"520" "chr1" 43142430 43148065 5636 "*"
"521" "chr1" 43168021 43198763 30743 "*"
"522" "chr1" 43205926 43212005 6080 "*"
"523" "chr1" 43232756 43232915 160 "*"
"524" "chr1" 43241414 43253660 12247 "*"
"525" "chr1" 43263902 43272722 8821 "*"
"526" "chr1" 43310661 43312243 1583 "*"
"527" "chr1" 43318147 43391045 72899 "*"
"528" "chr1" 43449030 43613593 164564 "*"
"529" "chr1" 43622068 43629844 7777 "*"
"530" "chr1" 43739674 43747556 7883 "*"
"531" "chr1" 43751289 43766565 15277 "*"
"532" "chr1" 43791553 43803474 11922 "*"
"533" "chr1" 43820136 43824625 4490 "*"
"534" "chr1" 43828874 43829067 194 "*"
"535" "chr1" 43833746 43849578 15833 "*"
"536" "chr1" 43855484 43855555 72 "*"
"537" "chr1" 43919919 43996546 76628 "*"
"538" "chr1" 44089344 44115796 26453 "*"
"539" "chr1" 44396838 44398991 2154 "*"
"540" "chr1" 44402913 44412477 9565 "*"
"541" "chr1" 44433695 44435652 1958 "*"
"542" "chr1" 44439044 44440601 1558 "*"
"543" "chr1" 44443973 44444873 901 "*"
"544" "chr1" 44456844 44457171 328 "*"
"545" "chr1" 44497165 44514029 16865 "*"
"546" "chr1" 44600810 44679124 78315 "*"
"547" "chr1" 44686352 44686741 390 "*"
"548" "chr1" 44820940 44870959 50020 "*"
"549" "chr1" 45117397 45119500 2104 "*"
"550" "chr1" 45140100 45140393 294 "*"
"551" "chr1" 45191264 45205489 14226 "*"
"552" "chr1" 45233439 45241245 7807 "*"
"553" "chr1" 45244413 45249256 4844 "*"
"554" "chr1" 45253427 45266035 12609 "*"
"555" "chr1" 45272958 45274153 1196 "*"
"556" "chr1" 45279802 45285515 5714 "*"
"557" "chr1" 45308617 45316193 7577 "*"
"558" "chr1" 45452395 45468219 15825 "*"
"559" "chr1" 45477028 45477804 777 "*"
"560" "chr1" 45481342 45482075 734 "*"
"561" "chr1" 45672251 45769581 97331 "*"
"562" "chr1" 45771292 45792544 21253 "*"
"563" "chr1" 45794347 45794913 567 "*"
"564" "chr1" 45956841 45959597 2757 "*"
"565" "chr1" 45965752 45965855 104 "*"
"566" "chr1" 45988563 46016454 27892 "*"
"567" "chr1" 46035724 46049659 13936 "*"
"568" "chr1" 46084579 46085715 1137 "*"
"569" "chr1" 46089732 46092975 3244 "*"
"570" "chr1" 46152303 46153846 1544 "*"
"571" "chr1" 46216486 46269284 52799 "*"
"572" "chr1" 46501797 46505811 4015 "*"
"573" "chr1" 46651635 46654352 2718 "*"
"574" "chr1" 46686929 46713366 26438 "*"
"575" "chr1" 46769039 46769379 341 "*"
"576" "chr1" 46782448 46805848 23401 "*"
"577" "chr1" 46830825 46859938 29114 "*"
"578" "chr1" 46879521 46899498 19978 "*"
"579" "chr1" 46911375 46972667 61293 "*"
"580" "chr1" 46979887 47004367 24481 "*"
"581" "chr1" 47082564 47100710 18147 "*"
"582" "chr1" 47184737 47264669 79933 "*"
"583" "chr1" 47285022 47308766 23745 "*"
"584" "chr1" 47366148 47394845 28698 "*"
"585" "chr1" 47407157 47427035 19879 "*"
